batch_size,microbatch_size,num_microbatches,pulp_split,mem_limits,data_split,predicted_ms,measured_ms,error_pct
64,32,2,17/8/7,17/8/8,19/6/7,24613.8,100461.8,-75.5
64,16,4,17/8/7,17/8/8,19/6/7,49227.5,132032.8,-62.7
64,8,8,17/8/7,17/8/8,19/6/7,98455.1,205504.1,-52.1
32,16,2,25/6/1,25/12/12,19/7/6,22121.2,65618.2,-66.3
32,8,4,25/6/1,25/12/12,19/7/6,44242.5,102492.3,-56.8
32,4,8,25/6/1,25/12/12,19/7/6,88484.9,184644.8,-52.1
64,32,2,17/8/7,17/8/8,19/7/6,24613.8,100453.4,-75.5
64,16,4,17/8/7,17/8/8,19/7/6,49227.5,131907.7,-62.7
64,8,8,17/8/7,17/8/8,19/7/6,98455.1,205128.4,-52.0
32,16,2,25/6/1,25/12/12,19/8/5,22121.2,65579.4,-66.3
32,8,4,25/6/1,25/12/12,19/8/5,44242.5,102736.5,-56.9
32,4,8,25/6/1,25/12/12,19/8/5,88484.9,184032.3,-51.9
64,32,2,17/8/7,17/8/8,19/8/5,24613.8,100732.6,-75.6
64,16,4,17/8/7,17/8/8,19/8/5,49227.5,132218.1,-62.8
64,8,8,17/8/7,17/8/8,19/8/5,98455.1,205589.7,-52.1
32,16,2,25/6/1,25/12/12,19/9/4,22121.2,65565.1,-66.3
32,8,4,25/6/1,25/12/12,19/9/4,44242.5,102981.8,-57.0
32,4,8,25/6/1,25/12/12,19/9/4,88484.9,184436.1,-52.0
64,32,2,17/8/7,17/8/8,19/9/4,24613.8,100850.4,-75.6
64,16,4,17/8/7,17/8/8,19/9/4,49227.5,132156.5,-62.8
64,8,8,17/8/7,17/8/8,19/9/4,98455.1,204914.0,-52.0
32,16,2,25/6/1,25/12/12,19/10/3,22121.2,65630.2,-66.3
32,8,4,25/6/1,25/12/12,19/10/3,44242.5,102785.4,-57.0
32,4,8,25/6/1,25/12/12,19/10/3,88484.9,183741.0,-51.8
32,16,2,25/6/1,25/12/12,19/11/2,22121.2,65563.7,-66.3
32,8,4,25/6/1,25/12/12,19/11/2,44242.5,102922.8,-57.0
32,4,8,25/6/1,25/12/12,19/11/2,88484.9,185035.1,-52.2
32,16,2,25/6/1,25/12/12,19/12/1,22121.2,65589.4,-66.3
32,8,4,25/6/1,25/12/12,19/12/1,44242.5,103299.2,-57.2
32,4,8,25/6/1,25/12/12,19/12/1,88484.9,186955.2,-52.7
32,16,2,25/6/1,25/12/12,20/1/11,22121.2,64948.2,-65.9
32,8,4,25/6/1,25/12/12,20/1/11,44242.5,102069.5,-56.7
32,4,8,25/6/1,25/12/12,20/1/11,88484.9,179534.2,-50.7
32,16,2,25/6/1,25/12/12,20/2/10,22121.2,64446.9,-65.7
32,8,4,25/6/1,25/12/12,20/2/10,44242.5,101166.6,-56.3
32,4,8,25/6/1,25/12/12,20/2/10,88484.9,183075.3,-51.7
32,16,2,25/6/1,25/12/12,20/3/9,22121.2,64288.7,-65.6
32,8,4,25/6/1,25/12/12,20/3/9,44242.5,101209.1,-56.3
32,4,8,25/6/1,25/12/12,20/3/9,88484.9,180831.8,-51.1
64,32,2,17/8/7,17/8/8,20/3/9,24613.8,100955.6,-75.6
64,16,4,17/8/7,17/8/8,20/3/9,49227.5,130873.0,-62.4
64,8,8,17/8/7,17/8/8,20/3/9,98455.1,202919.6,-51.5
32,16,2,25/6/1,25/12/12,20/4/8,22121.2,64312.6,-65.6
32,8,4,25/6/1,25/12/12,20/4/8,44242.5,101267.2,-56.3
32,4,8,25/6/1,25/12/12,20/4/8,88484.9,182099.8,-51.4
64,32,2,17/8/7,17/8/8,20/4/8,24613.8,100408.7,-75.5
64,16,4,17/8/7,17/8/8,20/4/8,49227.5,130512.7,-62.3
64,8,8,17/8/7,17/8/8,20/4/8,98455.1,202674.7,-51.4
32,16,2,25/6/1,25/12/12,20/5/7,22121.2,64335.9,-65.6
32,8,4,25/6/1,25/12/12,20/5/7,44242.5,101351.1,-56.3
32,4,8,25/6/1,25/12/12,20/5/7,88484.9,181191.1,-51.2
64,32,2,17/8/7,17/8/8,20/5/7,24613.8,100083.0,-75.4
64,16,4,17/8/7,17/8/8,20/5/7,49227.5,130505.1,-62.3
64,8,8,17/8/7,17/8/8,20/5/7,98455.1,202646.6,-51.4
32,16,2,25/6/1,25/12/12,20/6/6,22121.2,64413.1,-65.7
32,8,4,25/6/1,25/12/12,20/6/6,44242.5,101167.1,-56.3
32,4,8,25/6/1,25/12/12,20/6/6,88484.9,181734.6,-51.3
64,32,2,17/8/7,17/8/8,20/6/6,24613.8,100080.9,-75.4
64,16,4,17/8/7,17/8/8,20/6/6,49227.5,130560.5,-62.3
64,8,8,17/8/7,17/8/8,20/6/6,98455.1,202301.4,-51.3
32,16,2,25/6/1,25/12/12,20/7/5,22121.2,64291.7,-65.6
32,8,4,25/6/1,25/12/12,20/7/5,44242.5,101250.6,-56.3
32,4,8,25/6/1,25/12/12,20/7/5,88484.9,181656.3,-51.3
64,32,2,17/8/7,17/8/8,20/7/5,24613.8,100136.8,-75.4
64,16,4,17/8/7,17/8/8,20/7/5,49227.5,130391.0,-62.2
64,8,8,17/8/7,17/8/8,20/7/5,98455.1,202822.6,-51.5
32,16,2,25/6/1,25/12/12,20/8/4,22121.2,64383.6,-65.6
32,8,4,25/6/1,25/12/12,20/8/4,44242.5,101594.6,-56.5
32,4,8,25/6/1,25/12/12,20/8/4,88484.9,181333.1,-51.2
64,32,2,17/8/7,17/8/8,20/8/4,24613.8,100272.5,-75.5
64,16,4,17/8/7,17/8/8,20/8/4,49227.5,130446.9,-62.3
64,8,8,17/8/7,17/8/8,20/8/4,98455.1,202963.3,-51.5
32,16,2,25/6/1,25/12/12,20/9/3,22121.2,64447.9,-65.7
32,8,4,25/6/1,25/12/12,20/9/3,44242.5,100733.8,-56.1
32,4,8,25/6/1,25/12/12,20/9/3,88484.9,181399.6,-51.2
64,32,2,17/8/7,17/8/8,20/9/3,24613.8,100895.9,-75.6
