20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_gi5gb_mb,avg_gi5gb_mb,total_latency_ms,status
13,10,6,3,32,2,16,512,2458,1781,,timeout
13,10,6,3,64,32,2,512,4864,3445,,OOM_rank2
13,10,6,3,64,16,4,512,4856,3618,,OOM_rank2
13,10,6,3,64,8,8,512,4856,3782,,OOM_rank2
13,10,6,3,64,4,16,512,2506,1827,,timeout
13,10,6,3,64,2,32,512,2490,1807,,timeout
13,11,2,6,32,16,2,512,4650,2070,92061.5,ok
13,11,2,6,32,8,4,512,4694,1797,141814.0,ok
13,11,2,6,32,4,8,512,2240,1380,247013.046875,ok
13,11,2,6,32,2,16,512,914,731,,timeout
13,11,2,6,64,32,2,512,4730,1873,,OOM_rank3
13,11,2,6,64,16,4,512,4758,2054,,OOM_rank3
13,11,2,6,64,8,8,512,3662,1596,,OOM_rank3
13,11,2,6,64,4,16,512,962,744,,timeout
13,11,2,6,64,2,32,512,946,745,,timeout
13,11,3,5,32,16,2,512,4750,2410,89717.3828125,ok
13,11,3,5,32,8,4,512,4646,2365,141084.859375,ok
13,11,3,5,32,4,8,512,3266,2039,247263.65625,ok
13,11,3,5,32,2,16,512,1300,1019,,timeout
13,11,3,5,64,32,2,512,4822,2761,,OOM_rank1
13,11,3,5,64,16,4,512,4720,2793,,OOM_rank1
13,11,3,5,64,8,8,512,4424,2766,,OOM_rank1
13,11,3,5,64,4,16,512,1348,1086,,timeout
13,11,3,5,64,2,32,512,1332,1023,,timeout
13,11,4,4,32,16,2,512,4832,2857,89625.71875,ok
13,11,4,4,32,8,4,512,4630,2736,140777.84375,ok
13,11,4,4,32,4,8,512,4292,2654,246416.609375,ok
13,11,4,4,32,2,16,512,1686,1343,,timeout
13,11,4,4,64,32,2,512,4788,2955,,OOM_rank1
13,11,4,4,64,16,4,512,4820,3133,,OOM_rank1
13,11,4,4,64,8,8,512,4854,3174,,OOM_rank1
13,11,4,4,64,4,16,512,1734,1303,,timeout
13,11,4,4,64,2,32,512,1718,1309,,timeout
13,11,5,3,32,16,2,512,4830,3116,89590.1484375,ok
13,11,5,3,32,8,4,512,4850,3230,140573.0625,ok
13,11,5,3,32,4,8,512,4598,3114,247459.359375,ok
13,11,5,3,32,2,16,512,2072,1642,,timeout
13,11,5,3,64,32,2,512,4854,3479,,OOM_rank1
13,11,5,3,64,16,4,512,4848,3479,,OOM_rank1
13,11,5,3,64,8,8,512,4852,3592,,OOM_rank1
13,11,5,3,64,4,16,512,2120,1554,,timeout
13,11,5,3,64,2,32,512,2104,1548,,timeout
13,11,6,2,32,16,2,512,4854,3434,89672.8203125,ok
13,11,6,2,32,8,4,512,4858,3438,140703.390625,ok
13,11,6,2,32,4,8,512,4764,3567,247072.546875,ok
13,11,6,2,32,2,16,512,2458,1813,,timeout
13,11,6,2,64,32,2,512,4854,3443,,OOM_rank2
13,11,6,2,64,16,4,512,4856,3603,,OOM_rank2
13,11,6,2,64,8,8,512,4856,3736,,OOM_rank2
13,11,6,2,64,4,16,512,2506,1935,,timeout
13,11,6,2,64,2,32,512,2490,1826,,timeout
13,12,1,6,32,16,2,512,4724,1632,87678.46875,ok
13,12,1,6,32,8,4,512,3182,1293,137306.15625,ok
13,12,1,6,32,4,8,512,1214,798,241225.53125,ok
13,12,1,6,32,2,16,512,528,424,,timeout
13,12,1,6,64,32,2,512,4780,1557,,OOM_rank3
13,12,1,6,64,16,4,512,4208,1423,,OOM_rank3
