20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
17,9,4,2,32,8,4,512,9206,4825,2220,1718,7265,3980,1863,1272,118314.6640625,ok
17,9,4,2,32,4,8,512,9334,4889,2236,1460,7837,4205,1952,1309,227567.5625,ok
17,9,4,2,32,2,16,512,9564,5009,2296,1486,8281,4395,2027,1345,448277.53125,ok
17,9,4,2,16,8,2,512,8458,4429,2044,1718,6234,3519,1679,1166,60191.77734375,ok
17,9,4,2,16,4,4,512,8518,4457,2044,1362,6949,3778,1773,1205,117027.15625,ok
17,9,4,2,16,2,8,512,8614,4497,2064,1718,7447,3992,1859,1252,224471.515625,ok
17,9,4,2,8,4,2,512,8110,4241,1948,1718,6075,3426,1644,1134,58885.95703125,ok
17,9,4,2,8,2,4,512,8136,4241,1946,1718,6767,3702,1735,1184,113621.28125,ok
17,9,5,1,64,32,2,512,19534,9673,4528,1324,9009,4892,2668,992,72690.78125,ok
17,9,5,1,64,16,4,512,12938,6845,3830,1180,8444,4606,2640,937,126892.6953125,ok
17,9,5,1,64,8,8,512,10702,5625,3188,1066,8685,4647,2648,942,234980.75,ok
17,9,5,1,64,4,16,512,10966,5753,3252,1298,9126,4846,2753,954,457185.8125,ok
17,9,5,1,64,2,32,512,11450,6033,3404,1298,9519,5032,2842,967,893861.3125,ok
17,9,5,1,32,16,2,512,10308,5421,3046,1298,6797,3811,2219,844,64223.68359375,ok
17,9,5,1,32,8,4,512,9206,4825,2728,1298,7315,3994,2295,851,119058.5546875,ok
17,9,5,1,32,4,8,512,9334,4889,2752,1298,7870,4210,2403,869,227379.171875,ok
17,9,5,1,32,2,16,512,9566,5009,2828,1042,8291,4393,2493,886,447973.375,ok
17,9,5,1,16,8,2,512,8458,4429,2494,908,6222,3509,2046,785,60256.375,ok
17,9,5,1,16,4,4,512,8518,4457,2512,1298,6947,3780,2167,809,115834.6640625,ok
17,9,5,1,16,2,8,512,8614,4495,2540,1298,7445,3988,2276,824,223356.359375,ok
17,9,5,1,8,4,2,512,8110,4241,2392,870,6097,3448,2010,761,58226.203125,ok
17,9,5,1,8,2,4,512,8136,4241,2396,1298,6772,3700,2123,787,114460.734375,ok
18,6,4,4,64,32,2,512,18878,7387,4618,4524,9299,3529,2314,2472,75853.8515625,ok
18,6,4,4,64,16,4,512,13678,4643,3108,3348,8910,3199,2166,2395,131729.28125,ok
18,6,4,4,64,8,8,512,11298,3837,2592,2848,9145,3200,2161,2401,245417.6875,ok
18,6,4,4,64,4,16,512,11578,3917,2640,2896,9632,3329,2239,2487,470766.25,ok
18,6,4,4,64,2,32,512,12094,4121,2760,3016,10041,3448,2314,2566,927018.0,ok
18,6,4,4,32,16,2,512,10888,3699,2448,2706,7139,2674,1822,2041,66717.3828125,ok
18,6,4,4,32,8,4,512,9714,3295,2220,2558,7697,2777,1877,2110,123135.3359375,ok
18,6,4,4,32,4,8,512,9850,3341,2236,2492,8302,2911,1958,2200,237728.421875,ok
18,6,4,4,32,2,16,512,10078,3433,2296,2558,8756,3027,2030,2278,468022.0625,ok
18,6,4,4,16,8,2,512,8922,3031,2044,2302,6658,2509,1707,1925,62319.1796875,ok
18,6,4,4,16,4,4,512,8986,3053,2044,2302,7294,2649,1786,2021,119485.90625,ok
18,6,4,4,16,2,8,512,9070,3087,2064,2558,7888,2773,1865,2106,233147.890625,ok
18,6,4,4,8,4,2,512,8554,2907,1948,2302,6386,2430,1650,1866,60872.640625,ok
18,6,4,4,8,2,4,512,8566,2917,1946,2302,7141,2578,1735,1967,119622.75,ok
18,6,5,3,64,32,2,512,18878,6985,4528,3422,9337,3452,2690,1963,76738.2109375,ok
18,6,5,3,64,16,4,512,13678,4643,3830,2626,8884,3192,2642,1908,132458.578125,ok
18,6,5,3,64,8,8,512,11298,3837,3188,2246,9097,3190,2633,1924,242913.625,ok
18,6,5,3,64,4,16,512,11578,3917,3252,2284,9618,3328,2752,1981,470839.71875,ok
18,6,5,3,64,2,32,512,12094,4121,3404,2370,10048,3449,2843,2035,917060.0,ok
18,6,5,3,32,16,2,512,10888,3699,3046,2104,7010,2177,2211,1643,68186.390625,ok
18,6,5,3,32,8,4,512,9714,3295,2728,2138,7693,2772,2290,1695,122541.3046875,ok
